request_id,k6_endpoint,k6_status,k6_duration_ms,k6_waiting_ms,k6_receiving_ms,nginx_status,nginx_total_ms,nginx_upstream_ms,nginx_connect_ms,nginx_header_ms,gateway_status,gateway_total_ms,gateway_auth_ms,gateway_upstream_ms,gateway_other_ms,k6_minus_nginx_ms,nginx_minus_gateway_ms,k6_minus_gateway_ms
4efd40b8-d3c2-43e3-b905-9a24c8388329,,,,,,200,351.0,352.0,4.0,352.0,,,,,,,,
33077323-d156-4074-8282-39656caa986b,,,,,,200,215.0,216.0,4.0,216.0,,,,,,,,
50c533a6-7ffa-462b-ad79-7a4dc9c6f9c2,,,,,,200,226.0,224.0,0.0,224.0,,,,,,,,
8ae8154b-31e9-4b80-b290-fc46cff4f6e0,,,,,,404,5.0,8.0,0.0,8.0,,,,,,,,
f5ea7586-733d-4fc9-a387-91ad13f1807d,,,,,,200,186.0,184.0,0.0,184.0,,,,,,,,
779c98cb-6792-417a-9f17-6e3ca25a2c1b,,,,,,200,95.0,96.0,4.0,96.0,,,,,,,,
694d47e9-f9c8-42df-b787-d4d1b246f105,,,,,,200,122.0,120.0,0.0,120.0,,,,,,,,
b2478e1f-739e-47f3-980c-75c94da831c5,,,,,,200,138.0,140.0,4.0,140.0,,,,,,,,
dbce5402-413f-43c2-ba62-eb0f0efc2ced,,,,,,200,191.0,188.0,0.0,188.0,,,,,,,,
ceb2f57b-5994-4e07-8b2b-bd6fefe89a0b,,,,,,200,86.0,84.0,0.0,84.0,,,,,,,,
a7fb7f61-ca0f-4a3d-9245-3dc0b03ec07a,,,,,,200,151.0,152.0,0.0,152.0,,,,,,,,
88488b90-dd69-40b9-91d3-fbfcd515ba5a,,,,,,200,105.0,104.0,0.0,104.0,,,,,,,,
2c6c4972-1680-4927-98d8-e359a2aec8e8,,,,,,200,85.0,84.0,0.0,84.0,,,,,,,,
bc0705a1-b2e0-4a46-b609-2cef38848d4f,,,,,,200,108.0,108.0,0.0,108.0,,,,,,,,
be42ce7d-5da7-44f9-be66-ae5d7fd8df50,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
061c675a-4c3d-45dc-a2ce-9bd9d9eff241,,,,,,200,96.0,96.0,0.0,96.0,,,,,,,,
99300a53-bbbd-4e6a-98b0-489ce5a8822f,,,,,,200,104.0,104.0,4.0,104.0,,,,,,,,
c13072e7-d0e8-455c-8101-2f7edd18cfe3,,,,,,200,179.0,180.0,0.0,180.0,,,,,,,,
7a1138fe-c177-4c93-98dc-dd0de2ffdb1e,,,,,,200,87.0,88.0,0.0,88.0,,,,,,,,
7bd19551-3662-4908-b1ba-fc8e39ddc382,,,,,,200,131.0,128.0,0.0,128.0,,,,,,,,
bcda3981-0840-492e-b978-d0f2b35195b6,,,,,,200,87.0,84.0,0.0,84.0,,,,,,,,
eb9d093f-ea21-4008-9db4-d9f74a7e67d6,,,,,,200,132.0,132.0,0.0,132.0,,,,,,,,
612c6e13-61e2-4976-90ca-73d5c1589542,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
a4033b76-a4b1-4410-a10a-5e61ed9823f1,,,,,,200,121.0,120.0,0.0,120.0,,,,,,,,
7db89b42-e1fb-44cc-97ea-5a1efba39dd4,,,,,,200,95.0,96.0,0.0,96.0,,,,,,,,
11e9770a-1ca9-48bc-9c52-301da98f248c,,,,,,200,80.0,80.0,4.0,80.0,,,,,,,,
5a59c679-97d3-4a5c-a737-9f1cbf0a3dab,,,,,,200,74.0,76.0,0.0,76.0,,,,,,,,
c42f4de1-6083-460b-9dd4-b949306c7415,,,,,,200,73.0,76.0,4.0,76.0,,,,,,,,
9d86e629-53ed-48d5-94fc-0a1bcb4dae92,,,,,,200,75.0,76.0,0.0,76.0,,,,,,,,
a7b92877-68bb-4921-a460-0a0ed6bd48a5,,,,,,200,171.0,172.0,0.0,172.0,,,,,,,,
856b5071-afbd-490f-b788-e4362fb6e555,,,,,,200,122.0,120.0,0.0,120.0,,,,,,,,
c1c59ab5-506f-4b20-9aa4-16ac7cc96758,,,,,,200,105.0,104.0,0.0,104.0,,,,,,,,
80242371-d939-4077-afe0-fd131712c7b1,,,,,,200,117.0,116.0,0.0,116.0,,,,,,,,
